CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-08-13 05:18:03.9217197,C:\Windows\appcompat\Programs\Install\INSTALL_0000_1345a22e-13f2-4f2c-86c2-e1e3dc2cdc56.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0000_1345a22e-13f2-4f2c-86c2-e1e3dc2cdc56.txt,4704,504C16C1E7B5DADE037B9752858EAEFECB38444A,False,2021-07-18 17:23:56.5000929,2021-07-18 17:23:56.5000929,2021-08-13 04:10:46.4647411,00:00:00.0116281
2021-08-13 05:18:03.9537655,C:\Windows\appcompat\Programs\Install\INSTALL_0000_68d69ff7-2cf1-47b1-b151-befea3683657.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0000_68d69ff7-2cf1-47b1-b151-befea3683657.txt,3312,EAD41B5A8E9BC23C2EF324B776C7ECBFE264671C,False,2021-07-18 17:24:54.6586316,2021-07-18 17:24:54.6596312,2021-08-13 04:10:46.5081056,00:00:00.0070558
2021-08-13 05:18:03.9632810,C:\Windows\appcompat\Programs\Install\INSTALL_0000_8736ee2c-3b27-41f1-85e5-8ef94dc764cc.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0000_8736ee2c-3b27-41f1-85e5-8ef94dc764cc.txt,16200,7F6AB5DE266C9DC71F1BC640D61863E67D323905,False,2021-07-25 10:31:38.4486088,2021-07-25 10:31:38.4499862,2021-08-13 04:10:46.5161477,00:00:00.0070007
2021-08-13 05:18:03.9745851,C:\Windows\appcompat\Programs\Install\INSTALL_0000_8c8dc8e6-6040-4971-91fc-559bd9c17534.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0000_8c8dc8e6-6040-4971-91fc-559bd9c17534.txt,16578,1B0494E2F3D0A0342050F8D5A36D8C0FCC3EE5BE,False,2021-07-22 07:53:38.2915198,2021-07-22 07:53:38.2915198,2021-08-13 04:10:46.5308483,00:00:00.0090925
2021-08-13 05:18:03.9827390,C:\Windows\appcompat\Programs\Install\INSTALL_0000_9baa8585-075b-424d-8c7a-ae0718b63fd5.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0000_9baa8585-075b-424d-8c7a-ae0718b63fd5.txt,9816,D8969646AAEAB4191080672BAE15F8CBF22CC71F,False,2021-07-23 16:46:21.3504375,2021-07-23 16:46:21.3504375,2021-08-13 04:10:46.5450220,00:00:00.0060891
2021-08-13 05:18:03.9923435,C:\Windows\appcompat\Programs\Install\INSTALL_0000_a8e6ace1-af12-4094-9458-053a137e334f.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0000_a8e6ace1-af12-4094-9458-053a137e334f.txt,13752,99F77632351D7171F566910C0789187F33E81E05,False,2021-08-06 07:16:51.3490605,2021-08-06 07:16:51.3501059,2021-08-13 04:10:46.5576820,00:00:00.0075378
2021-08-13 05:18:04.0013045,C:\Windows\appcompat\Programs\Install\INSTALL_0000_ab8a8415-c72d-4c66-9abb-d6d808f73e17.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0000_ab8a8415-c72d-4c66-9abb-d6d808f73e17.txt,9816,67817BE563E5D9D631ABFAECD2F1F0F673F52744,False,2021-07-23 18:09:24.0976996,2021-07-23 18:09:24.0976996,2021-08-13 04:10:46.5716011,00:00:00.0068894
2021-08-13 05:18:04.0097614,C:\Windows\appcompat\Programs\Install\INSTALL_0000_b52851cb-611d-4fcf-a4af-5ecaee92f1f7.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0000_b52851cb-611d-4fcf-a4af-5ecaee92f1f7.txt,16180,A838F88D38D163235AF3A406A6221F0D6DC161E0,False,2021-07-22 08:00:05.8321122,2021-07-22 08:00:05.8321122,2021-08-13 04:10:46.5833398,00:00:00.0074602
2021-08-13 05:18:04.0208932,C:\Windows\appcompat\Programs\Install\INSTALL_0000_c3ae883d-8c29-45af-9ada-95838f247255.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0000_c3ae883d-8c29-45af-9ada-95838f247255.txt,9816,A3CC40595243412F656CBE0C98B813A3B8C0B01E,False,2021-07-23 17:36:25.9180757,2021-07-23 17:36:25.9288657,2021-08-13 04:10:46.5955480,00:00:00.0081418
2021-08-13 05:18:04.0289537,C:\Windows\appcompat\Programs\Install\INSTALL_0000_d9337413-a819-4000-8a2c-5ccf44407653.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0000_d9337413-a819-4000-8a2c-5ccf44407653.txt,3462,2DB5AC3C1C518E55D05539946E553485B7F16B47,False,2021-07-18 15:35:50.0378694,2021-07-18 15:35:50.0378694,2021-08-13 04:10:46.6084869,00:00:00.0070521
2021-08-13 05:18:04.0319030,C:\Windows\appcompat\Programs\Install\INSTALL_0000_f5f9deaa-2169-46c4-8738-48d6bf7968b5.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0000_f5f9deaa-2169-46c4-8738-48d6bf7968b5.txt,2578,66B40E1F0D49C060A18C0DE581855BF311DB9FE3,False,2021-07-18 06:55:34.6683515,2021-07-18 06:55:34.6693554,2021-08-13 04:10:46.6164625,00:00:00.0020277
2021-08-13 05:18:04.0411833,C:\Windows\appcompat\Programs\Install\INSTALL_0001_61059bb4-1de7-48b1-9788-b1f57124124d.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0001_61059bb4-1de7-48b1-9788-b1f57124124d.txt,97844,72AAC52DCB3945C7B7FBDC57D0EAEDF15E30DDB5,False,2021-07-25 08:52:21.5917448,2021-07-25 08:52:21.5925241,2021-08-13 04:10:46.6257004,00:00:00.0082777
2021-08-13 05:18:04.0451702,C:\Windows\appcompat\Programs\Install\INSTALL_0002_0e521acb-bd3d-4d2e-b95e-c48d9cff9fce.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0002_0e521acb-bd3d-4d2e-b95e-c48d9cff9fce.txt,2828,BC0421D214C509BC867E60837FC6607DDFE4F917,False,2021-07-20 10:16:13.5595713,2021-07-20 10:16:13.5595713,2021-08-13 04:10:46.6406637,00:00:00.0019264
2021-08-13 05:18:04.0548433,C:\Windows\appcompat\Programs\Install\INSTALL_0003_3fa66573-460e-451d-b820-2868205ebbf9.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0003_3fa66573-460e-451d-b820-2868205ebbf9.txt,21868,4662CDA49BFD44364970771ACBAB691E77AEA31A,False,2021-07-18 11:06:24.9739905,2021-07-18 11:06:24.9748864,2021-08-13 04:10:46.6499975,00:00:00.0086766
2021-08-13 05:18:04.0649088,C:\Windows\appcompat\Programs\Install\INSTALL_0003_6320556a-1f5f-4f60-aa2e-fe15195e3c9b.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0003_6320556a-1f5f-4f60-aa2e-fe15195e3c9b.txt,4114,69DDAF8167F5F83616C7A3DF652353718EE3CB59,False,2021-07-25 07:40:28.9286534,2021-07-25 07:40:28.9299179,2021-08-13 04:10:46.6637575,00:00:00.0060560
2021-08-13 05:18:04.0678203,C:\Windows\appcompat\Programs\Install\INSTALL_0003_835c540b-9108-4ac9-8f3a-5c89abbda59c.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0003_835c540b-9108-4ac9-8f3a-5c89abbda59c.txt,4034,464C10F087E02AFA6D3E3EE68A51790CB684229A,False,2021-08-07 10:54:24.5819547,2021-08-07 10:54:24.5819547,2021-08-13 04:10:46.6707350,00:00:00.0019192
2021-08-13 05:18:04.0763817,C:\Windows\appcompat\Programs\Install\INSTALL_0003_8c8dc8e6-6040-4971-91fc-559bd9c17534.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0003_8c8dc8e6-6040-4971-91fc-559bd9c17534.txt,3704,CDD83E94FDE710193D8F8CEE22894D90FF8BE44C,False,2021-07-22 07:51:06.5613410,2021-07-22 07:51:06.5613410,2021-08-13 04:10:46.6787086,00:00:00.0065837
2021-08-13 05:18:04.0844321,C:\Windows\appcompat\Programs\Install\INSTALL_0003_b52851cb-611d-4fcf-a4af-5ecaee92f1f7.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0003_b52851cb-611d-4fcf-a4af-5ecaee92f1f7.txt,3664,F66D1CA17EA53C7DFD3DC181F7A768F2DAD1561C,False,2021-07-22 07:59:42.2012854,2021-07-22 07:59:42.2012854,2021-08-13 04:10:46.6876792,00:00:00.0070529
2021-08-13 05:18:04.0873660,C:\Windows\appcompat\Programs\Install\INSTALL_0003_bb43efbc-d7b4-4673-afb6-e0856e91385e.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0003_bb43efbc-d7b4-4673-afb6-e0856e91385e.txt,3692,3153C91CEF4F30918233693E8E6606F6D8A9FA7D,False,2021-07-22 10:49:07.1484227,2021-07-22 10:49:07.1494242,2021-08-13 04:10:46.6971583,00:00:00.0019321
2021-08-13 05:18:04.0953667,C:\Windows\appcompat\Programs\Install\INSTALL_0003_c09b0600-570f-4636-bdcd-b6048b446bf9.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0003_c09b0600-570f-4636-bdcd-b6048b446bf9.txt,2392,B150FEB7AD56AA4AD069D5ED026730F10F6C502F,False,2021-07-18 20:49:21.3264416,2021-07-18 20:49:21.3271477,2021-08-13 04:10:46.7052030,00:00:00.0069189
2021-08-13 05:18:04.1053337,C:\Windows\appcompat\Programs\Install\INSTALL_0006_0e521acb-bd3d-4d2e-b95e-c48d9cff9fce.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0006_0e521acb-bd3d-4d2e-b95e-c48d9cff9fce.txt,12984,385FC1526B35103645CAB36F37E15FE20C250709,False,2021-07-20 10:20:39.9656781,2021-07-20 10:20:39.9656781,2021-08-13 04:10:46.7125012,00:00:00.0068979
